time;memory
83;16096
83;16416
41;16416
83;16416
83;16416
3083;16416
84;16416
84;16416
125;16416
42;16416
7250;16416
84;16432
83;16432
125;16432
84;16432
125;16432
83;16432
166;16432
167;16432
125;16432
4250;16432
125;16448
167;16448
167;16448
125;16448
167;16448
125;16448
167;16448
166;16448
166;16448
125;16448
167;16448
167;16448
167;16448
167;16448
125;16448
167;16448
166;16448
208;16448
208;16448
13667;16448
167;16480
167;16480
167;16480
208;16480
166;16480
167;16480
166;16480
208;16480
167;16480
166;16480
208;16480
167;16480
208;16480
208;16480
250;16480
208;16480
209;16480
250;16480
208;16480
250;16480
208;16480
250;16480
209;16480
250;16480
208;16480
250;16480
292;16480
208;16480
250;16480
250;16480
250;16480
208;16480
292;16480
250;16480
250;16480
250;16480
292;16480
291;16480
292;16480
1542;16480
292;16480
333;16480
333;16480
292;16480
333;16480
291;16480
292;16480
292;16480
292;16480
292;16480
291;16480
333;16480
292;16480
292;16480
291;16480
333;16480
334;16480
333;16480
333;16480
333;16480
334;16480
334;16480
334;16480
333;16480
375;16480
334;16480
334;16480
375;16480
375;16480
375;16480
375;16480
375;16480
375;16480
333;16480
417;16480
375;16480
417;16480
417;16480
416;16480
375;16480
416;16480
417;16480
417;16480
417;16480
417;16480
375;16480
416;16480
417;16480
416;16480
417;16480
417;16480
459;16480
416;16480
459;16480
417;16480
458;16480
458;16480
458;16480
416;16480
458;16480
417;16480
417;16480
417;16480
458;16480
458;16480
500;16480
500;16480
458;16480
458;16480
583;16480
500;16480
500;16480
625;16480
500;16480
458;16480
500;16480
500;16480
500;16480
500;16480
2208;16480
500;16480
542;16480
500;16480
500;16480
500;16480
500;16480
500;16480
500;16480
542;16480
542;16480
541;16480
500;16480
542;16480
500;16480
583;16480
583;16480
542;16480
542;16480
542;16480
541;16480
583;16480
542;16480
583;16480
750;16480
792;16480
583;16480
583;16480
542;16480
584;16480
583;16480
583;16480
584;16480
584;16480
583;16480
625;16480
583;16480
583;16480
583;16480
625;16480
625;16480
625;16480
583;16480
667;16480
625;16480
625;16480
625;16480
625;16480
625;16480
666;16480
625;16480
625;16480
667;16480
625;16480
667;16480
625;16480
666;16480
667;16480
625;16480
666;16480
666;16480
667;16480
667;16480
709;16480
666;16480
709;16480
709;16480
708;16480
666;16480
708;16480
708;16480
750;16480
708;16480
708;16480
709;16480
750;16480
708;16480
709;16480
708;16480
750;16480
708;16480
750;16480
750;16480
708;16480
750;16480
750;16480
750;16480
750;16480
750;16480
750;16480
750;16480
750;16480
750;16480
791;16480
792;16480
750;16480
750;16480
833;16480
791;16480
792;16480
792;16480
750;16480
792;16480
792;16480
792;16480
791;16480
792;16480
791;16480
833;16480
791;16480
792;16480
791;16480
792;16480
833;16480
791;16480
833;16480
833;16480
834;16480
833;16480
834;16480
833;16480
834;16480
833;16480
875;16480
875;16480
875;16480
875;16480
875;16480
875;16480
916;16480
875;16480
917;16480
875;16480
875;16480
875;16480
916;16480
875;16480
916;16480
875;16480
917;16480
916;16480
875;16480
1042;16480
875;16480
875;16480
917;16480
916;16480
916;16480
959;16480
916;16480
959;16480
917;16480
959;16480
917;16480
1000;16480
959;16480
958;16480
958;16480
917;16480
959;16480
3250;16480
958;16480
958;16480
958;16480
958;16480
958;16480
958;16480
959;16480
958;16480
1000;16480
1000;16480
1000;16480
1000;16480
1000;16480
1000;16480
1000;16480
1000;16480
1000;16480
1000;16480
1000;16480
1000;16480
1042;16480
1041;16480
1042;16480
1041;16480
1042;16480
1000;16480
1042;16480
1042;16480
1042;16480
1042;16480
1042;16480
1041;16480
1084;16480
1042;16480
1042;16480
1042;16480
1083;16480
1042;16480
1083;16480
1042;16480
1083;16480
1083;16480
1084;16480
1083;16480
1084;16480
1083;16480
1083;16480
1083;16480
1125;16480
1083;16480
1125;16480
1083;16480
1125;16480
1125;16480
1125;16480
1125;16480
1125;16480
1125;16480
1292;16480
1083;16480
1125;16480
1167;16480
1125;16480
1125;16480
1125;16480
1166;16480
1167;16480
1167;16480
1208;16480
1125;16480
1125;16480
1166;16480
1167;16480
1167;16480
1167;16480
1167;16480
1166;16480
1167;16480
1167;16480
1166;16480
1209;16480
1166;16480
1166;16480
1208;16480
1209;16480
1209;16480
1209;16480
1208;16480
1209;16480
1208;16480
1208;16480
1208;16480
1208;16480
1208;16480
1208;16480
1250;16480
1291;16480
1250;16480
1250;16480
1250;16480
1250;16480
1250;16480
1250;16480
1250;16480
1250;16480
1292;16480
1250;16480
1250;16480
1292;16480
1209;16480
1292;16480
1292;16480
1250;16480
1250;16480
1292;16480
1292;16480
1333;16480
1292;16480
1291;16480
